,site_oid,muni_id,municipal,type_id,subtype_id,commtype,county,subregion,Submarket,Number of Parcels on Site,Parcel IDs,parcel_addr,land_value,bldg_value,othr_value,total_valu,bldlnd_rat,yr_built,landv_pac,totvalpacre,transit_typ,statname,stattyp,busstop,highway,jobs45mintr,jobs30mincar,pctnonautocmt,walkscore,pub_ind,ch21e_p,aulsite_p,fz100_p,fz500_p,excluded_p,z2wpa_p,openspace_p,wetland100_p,disttosewerft,sitearea_ac,imppreac,pavear_ac,buildarea_ac,far_pre,FAR after retrofit,FAR mixed after retrofit,Estimated Capacity (all residential),Estimated Capacity (some commercial),Tax Revenue (after retrofit),Site Tax Revenue Change,Healthy Communities Score,Healthy Watersheds Score,Travel Choices Score,Growth Potential Score,Overall Score,municipal_rank,regional_rank,top10muni,munpctile,regipctile,Quintile Category,munqntile,Longitude,Latitude
0,9475,49,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,2.0,1.0,[1252601],22 MCGRATH HWY,31775500.0,19836200.0,1226600.0,52838300.0,0.62,1980,5357654.0,4557620.3805875145,Transformational Subway,Washington Street,Rapid Transit, ,28,702779,1315298,72.2,95.0,1.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,0.0,0.0,11.59,452.78,0.0,11.46,0.3,2.6096864058075355,2.2497296601789105,1198.0,990.0,1854897.0,1184908.0,0.85,1.0,0.94,0.95,3.96,1,1,1,100.0,100.0,5,5,-71.08497095077723,42.374034104245496
5,9577,274,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,2.0,1.0,[1252026],196 SOMERVILLE AVE,7341100.0,8932200.0,746400.0,17019700.0,0.9,1975,5357654.0,2214421.2746447725,Transformational Subway,Washington Street,Rapid Transit, , ,702421,1327192,49.4,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,323.43,0.0,7.69,0.44,2.64,2.275862068965517,804.0,664.0,2182930.0,1905168.0,0.87,1.0,0.91,0.9,3.89,1,6,1,100.0,99.8,5,5,-71.09036211787385,42.37677163339732
6,9967,274,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.0,0.0,1242329,,8492300.0,5130800.0,1099000.0,14722100.0,,2004,5357654.0,6530499.630908505,Transformational Subway,Assembly,Rapid Transit, , ,700445,1358265,36.1,95.0,2.0,0.0,7.6,0.0,10.9,0.0,0.0,0.0,0.0,8.0,2.25,142.68,0.01,2.25,0.3,2.64,2.275862068965517,236.0,195.0,839815.0,599551.0,0.86,0.97,0.9,0.93,3.88,2,7,1,98.6,99.8,5,5,-71.08525205595774,42.390996184254504
14,9695,274,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.0,1.0,[1251240],400 SOMERVILLE AVE,4197200.0,3883700.0,301200.0,8382100.0,0.93,1970,5357654.0,2488247.919730002,Transformational Subway,Union Square Glx,Rapid Transit, , ,619365,1205903,57.2,89.0,3.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.37,107.21,0.0,3.37,0.32,2.639892875847337,2.2757697205580496,352.0,291.0,1254880.0,1118084.0,0.86,1.0,0.9,0.86,3.83,3,15,1,97.2,99.5,5,5,-71.10157345501008,42.38099985894236
16,9766,274,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.0,1.0,[1250640],275 BEACON ST,2618400.0,1610900.0,153400.0,4382700.0,0.62,1965,5357654.0,2119898.990678124,Neighborhood Subway,Porter,Rapid Transit,MBTA Key Bus Route: 77, ,604928,1222512,57.2,88.0,3.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,75.72,0.0,2.07,0.36,1.9090909090909087,1.5555555555555554,172.0,128.0,556942.0,485416.0,0.86,1.0,0.9,0.85,3.81,4,17,1,95.8,99.5,5,5,-71.11184931965724,42.38344979525891
29,9986,274,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.0,4.0,[1242292 1243209 1246858 1246907],9 - 15 TEMPLE ST; 299 - 311 BROADWAY,2988400.0,2510900.0,218100.0,5717400.0,0.84,1970,5357654.0,2101407.613139672,Neighborhood Subway,Gilman Square Glx,Rapid Transit, , ,578332,1305063,36.1,85.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,106.69,0.0,2.72,0.53,1.9090909090909087,1.5555555555555558,226.0,169.0,732945.0,639637.0,0.85,1.0,0.89,0.84,3.77,5,30,1,94.4,99.0,5,5,-71.09221676187559,42.39260158807964
34,9949,274,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.0,1.0,[1242329],771 MCGRATH HWY,8492300.0,5130800.0,1099000.0,14722100.0,0.6,2004,5357654.0,9179753.73996323,Transformational Subway,Assembly,Rapid Transit, , ,700445,1357659,36.1,95.0,1.0,0.0,19.9,0.0,0.6,0.0,0.0,0.0,0.0,9.0,1.6,142.68,0.01,1.6,0.3,2.6399999999999992,2.275862068965517,168.0,139.0,597447.0,357182.0,0.8,1.0,0.9,0.86,3.75,6,35,1,93.0,98.9,5,5,-71.08459038487318,42.390605091252354
36,9457,274,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,2.0,2.0,[1252486 1252510],"13, 15, 17, 21 MCGRATH HWY",2983400.0,1780700.0,236700.0,5000800.0,0.6,1988,5357654.0,4460008.057970797,Transformational Subway,Lechmere,Rapid Transit, ,28,702779,1331003,49.4,86.0,1.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.12,40.55,0.0,1.12,0.71,2.64,2.275862068965517,117.0,97.0,318458.0,236845.0,0.8,1.0,0.91,0.83,3.74,7,38,1,91.5,98.8,5,5,-71.08209984076966,42.374228356540534
39,9588,274,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,2.0,1.0,[1251875],52 MCGRATH HWY,1613200.0,610400.0,89700.0,2313300.0,0.38,1976,5357654.0,3219260.5611794298,Transformational Subway,Washington Street,Rapid Transit, , ,702421,1330288,49.4,91.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.72,8.66,0.0,0.72,0.11,2.64,2.2758620689655173,75.0,62.0,204091.0,166338.0,0.86,1.0,0.91,0.78,3.73,8,40,0,90.1,98.7,5,5,-71.08986952819983,42.37800600420008
44,9771,274,Somerville,378,382,Inner Core,Middlesex County,Inner Core (ICC) Subregion,3.0,2.0,[1250572 1250670],622 - 624 SOMERVILLE AVE,2627800.0,2625200.0,248800.0,5501800.0,1.0,1920,5357654.0,2800198.248928098,Neighborhood Subway,Porter,Rapid Transit,MBTA Key Bus Route: 77, ,604928,1212085,57.2,88.0,3.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.96,115.71,0.0,1.96,0.65,1.9090909090909087,1.5555555555555554,163.0,122.0,529297.0,439507.0,0.84,1.0,0.9,0.79,3.72,9,45,0,88.7,98.5,5,5,-71.11063450085732,42.3837725988639
