,site_oid,parcel_addr,station,busstop,walkscore,pub_ind,ch21e_p,aulsite_p,fz100_p,fz500_p,excluded_p,z2wpa_p,highway,muni_id,municipal,type_id,subtype_id,commtype,land_value,bldg_value,othr_value,total_valu,Submarket,transit_typ,openspace_p,wetland100_p,disttosewerft,jobs45mintr,jobs30mincar,pctnonautocmt,sitearea_sf,buildarea_ac,county,subregion,landv_pac,Condo Assessed Value per Square Foot,totvalpacre,Estimated Capacity (all residential),Estimated Capacity (some commercial),Buildable Area (sf),Tax Revenue (before retrofit),Tax Revenue (after retrofit),Number of Parcels on Site,Parcel IDs,bldlnd_rat,Healthy Communities Score,Healthy Watersheds Score,Travel Choices Score,Growth Potential Score,Overall Score,ECDF,Quintile Category,Site Tax Revenue Change,Municipal Total Tax Increase,Municipal Avg Tax Increase,Top Category,municipal_rank,regional_rank,Longitude,Latitude
0,9475,22 MCGRATH HWY,Rapid Transit: Washington Street, ,95.0,1.0,0.0,0.0,0.0,0.0,1.1,0.0,28,49,Cambridge,378,382,Inner Core,31775500.0,19836200.0,1226600.0,52838300.0,2.0,Transformational Subway,1.1,0.0,0.0,702779,1315298,72.2,505008.0,11.46,Middlesex County,Inner Core (ICC) Subregion,5357654.0,244.77,4557620.3805875145,1198.0,990.0,499210.0,669990.0,1854897.0,1.0,[1252601],0.62,0.85,1.0,0.94,0.95,3.96,1.0,5,1184908.0,13158245.0,182753.0,5,1,1,-71.08497095077723,42.374034104245496
1,9921,23 WHITE ST,Rapid Transit: Porter, ,97.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2A,49,Cambridge,378,382,Inner Core,23087300.0,12329400.0,123400.0,35540100.0,3.0,Neighborhood Subway,0.0,0.0,0.0,707974,1255630,69.8,225650.0,5.18,Middlesex County,Inner Core (ICC) Subregion,5357654.0,321.05,6860754.29986993,431.0,322.0,225650.0,450648.0,795255.0,1.0,[2086091],0.53,0.88,1.0,0.93,0.92,3.95,1.0,5,344607.0,14133501.0,256973.0,5,2,2,-71.1184516031933,42.38957099990466
2,8059,"434, 456, 476 BLUE HILL AV",Commuter Rail: Four Corners/Geneva Ave, ,86.0,7.0,0.0,0.0,0.0,0.0,5.4,0.0, ,35,Boston,378,382,Inner Core,33911400.0,19067100.0,0.0,52978500.0,2.0,Neighborhood Subway,0.0,0.0,0.0,485836,1178796,45.0,227388.0,4.94,Suffolk County,Inner Core (ICC) Subregion,5357654.0,244.77,10148930.183366865,411.0,307.0,215045.0,1320224.0,1061168.0,2.0,[1561033 1591901],0.56,0.94,1.0,0.88,0.91,3.94,0.999,5,-259056.0,57728371.0,317189.0,5,1,3,-71.08162890768138,42.309135090347276
3,8441,1003 1013 HARRISON AV,Rapid Transit: Melnea Cass Blvd, ,92.0,5.0,0.0,0.0,0.0,0.0,0.1,0.0, ,35,Boston,378,382,Inner Core,1417800.0,469200.0,0.0,1887000.0,2.0,Transformational Subway,0.1,0.0,0.0,734311,1375838,56.8,56677.0,1.3,Suffolk County,Inner Core (ICC) Subregion,5357654.0,244.77,1450280.230495145,136.0,112.0,56601.0,47024.0,386243.0,1.0,[1576673],0.33,0.93,1.0,0.93,0.87,3.93,0.999,5,339219.0,57728371.0,317189.0,5,2,4,-71.08063812773996,42.33166872632056
4,8547,155 HARVARD ST,Rapid Transit: Coolidge Corner, ,100.0,4.0,0.0,0.0,0.0,0.0,16.9,0.0, ,46,Brookline,378,384,Inner Core,3590300.0,1526600.0,200900.0,5317800.0,1.0,Neighborhood Subway,0.0,0.0,0.0,600323,1211854,65.7,96690.0,1.85,Norfolk County,Inner Core (ICC) Subregion,3079709.0,775.71,2395731.6981920777,153.0,115.0,80374.0,82585.0,1124790.0,1.0,[2070358],0.43,0.93,1.0,0.91,0.86,3.91,0.999,5,1042205.0,12065125.0,251357.0,5,1,5,-71.12060622088988,42.338069060732714
5,9577,196 SOMERVILLE AVE,Rapid Transit: Washington Street, ,95.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0, ,274,Somerville,378,382,Inner Core,7341100.0,8932200.0,746400.0,17019700.0,2.0,Transformational Subway,0.0,0.0,0.0,702421,1327192,49.4,334795.0,7.69,Middlesex County,Inner Core (ICC) Subregion,5357654.0,244.77,2214421.2746447725,804.0,664.0,334795.0,277762.0,2182930.0,1.0,[1252026],0.9,0.87,1.0,0.91,0.9,3.89,0.998,5,1905168.0,13158245.0,182753.0,5,1,6,-71.09036211787385,42.37677163339732
6,9967,,Rapid Transit: Assembly, ,95.0,2.0,0.0,7.6,0.0,10.9,0.0,0.0, ,274,Somerville,378,382,Inner Core,8492300.0,5130800.0,1099000.0,14722100.0,3.0,Transformational Subway,0.0,0.0,0.0,700445,1358265,36.1,98200.0,2.25,Middlesex County,Inner Core (ICC) Subregion,5357654.0,321.05,6530499.630908505,236.0,195.0,98200.0,240265.0,839815.0,0.0,[],,0.87,0.97,0.9,0.93,3.88,0.998,5,599551.0,13158245.0,182753.0,5,2,7,-71.08525205595774,42.390996184254504
7,8787,523-527 HARVARD ST,Rapid Transit: Harvard Avenue, ,91.0,2.0,0.0,0.0,0.0,0.0,10.7,0.0, ,35,Boston,378,382,Inner Core,5390200.0,1319100.0,258800.0,6968100.0,3.0,Neighborhood Subway,0.0,0.0,0.0,476181,1381133,56.3,110757.0,2.27,Suffolk County,Inner Core (ICC) Subregion,5357654.0,321.05,2740515.3328345194,189.0,141.0,98893.0,173645.0,640081.0,1.0,[2072760],0.24,0.86,1.0,0.91,0.89,3.88,0.998,5,466436.0,12065125.0,251357.0,5,3,8,-71.12886500251948,42.34834720218317
8,9029,727 MEMORIAL DR, , ,78.0,4.0,0.0,26.1,0.0,0.0,0.0,0.0,3,49,Cambridge,378,382,Inner Core,9583200.0,5078900.0,75900.0,14738000.0,3.0, ,0.0,0.0,0.0,733289,1494226,67.9,190464.0,4.37,Middlesex County,Inner Core (ICC) Subregion,5357654.0,321.05,3370652.9049731954,364.0,272.0,190464.0,186878.0,671250.0,1.0,[2085883],0.53,0.79,1.0,0.95,0.91,3.88,0.997,5,484372.0,14133501.0,256973.0,5,3,9,-71.11438255660325,42.35768683298551
9,9130,485 ARSENAL ST, ,MBTA Key Bus Route: 71,83.0,1.0,0.0,0.0,0.0,0.0,0.8,0.0, ,314,Watertown,378,384,Inner Core,65180400.0,26030900.0,446100.0,91657400.0,3.0, ,0.0,1.4,0.0,225843,1404190,25.9,858911.0,19.57,Middlesex County,Inner Core (ICC) Subregion,3079709.0,321.05,4648442.657724748,1557.0,1147.0,852400.0,2065041.0,6673504.0,1.0,[1131140],0.4,0.81,1.0,0.85,0.97,3.86,0.997,5,4608463.0,14141233.0,441914.0,5,1,10,-71.15735209598192,42.36185224640579
10,9131,304 - 380 WESTERN AV,Commuter Rail: Boston Landing, ,82.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0, ,35,Boston,378,382,Inner Core,38439600.0,29730900.0,0.0,68170500.0,3.0,,0.0,0.0,0.0,516599,1500338,34.6,298203.0,6.85,Suffolk County,Inner Core (ICC) Subregion,5357654.0,321.05,9957993.950793227,569.0,425.0,298203.0,1698809.0,1930103.0,1.0,[1571358],0.77,0.84,1.0,0.9,0.9,3.85,0.997,5,231294.0,57728371.0,317189.0,5,4,11,-71.13697582648632,42.361804982460555
11,9110,339 - 340 RIVER ST, , ,77.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0, ,49,Cambridge,378,382,Inner Core,7656300.0,6716100.0,34400.0,14406800.0,3.0, ,0.0,0.0,0.0,750168,1502575,60.6,128577.0,2.95,Middlesex County,Inner Core (ICC) Subregion,5357654.0,321.05,4880829.185633045,245.0,183.0,128577.0,182678.0,453141.0,2.0,[2083866 2083917],0.88,0.86,1.0,0.94,0.84,3.85,0.996,5,270463.0,14133501.0,256973.0,5,4,12,-71.11403298900983,42.36140806366063
