GEOID,NumPrv,Comcast,RCN,Starry,netBlazr
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,2,43,42,,
2.50173E+14,2,,42,,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,4,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,2,43,42,,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,1,43,,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,3,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,1,43,,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,3,43,42,70,
2.50173E+14,2,43,42,,
2.50173E+14,3,43,42,70,
2.50173E+14,3,43,42,70,
2.50173E+14,2,43,42,,
2.50173E+14,3,43,42,70,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,1,43,,,
2.50173E+14,1,43,,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
2.50173E+14,2,43,42,,
