,site_oid,top_quintile,Unnamed: 0,level_0,index,FID,Join_Count,TARGET_FID,Join_Cou_1,TARGET_F_1,Join_Cou_2,TARGET_F_2,Id,area_acres_y,AREA_parce_y,station_y,busstop_y,walkscore_y,pub_ind_y,ch21e_p_y,aulsite_p_y,fz100_p_y,fz500_p_y,excluded_p_y,z2wpa_p_y,autodealer_y,highway_y,muni_id_y,municipal,type_id_y,subtype_id_y,commtype_y,subtype_parcel_y,area_ac_y,muni,land_value_y,bldg_value_y,othr_value_y,total_valu_y,sqm_imperv_y,sqm_bldg_y,sqm_pave_y,Shape_Leng_y,Shape_Area_y,xcoord_y,ycoord_y,Submarket_y,transit_typ_y,openspace_p_y,wetland100_p_y,disttosewerft_y,jobs45mintr_y,jobs30mincar_y,pctnonautocmt_y,sitearea_sf_y,buildarea_sf_y,buildarea_ac_y,muni_proper,county_y,subregion_y,subtype_key,mapc,subtype,landv_pac_y,DOR Code_y,Fiscal Year_y,Residential_y,Open Space_y,Commercial_y,Industrial_y,Personal Property_y,Condo Assessed Value per Square Foot_y,Estimated Capacity (all residential)_y,Estimated Capacity (some commercial)_y,Buildable Area (sf)_y,Impervious surface (sf)_y,Tax Revenue before retrofit,Tax Revenue after retrofit,Number of Parcels on Site,Parcel IDs,bldlnd_rat_y,Healthy Communtiies Score,Healthy Watersheds Score,Travel Choices Score,Growth Potential Score,Overall Score,Tax Revenue Differential
0,11613,TRUE,2340,2340,4553,11613,1,11614,1,11614,1,11614,0,3.726925159,162344.8599, , ,55,0,0,0,0,0,0,0, ,2A,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,3.726925159,Acton,1029600,529400,22000,1581000,4793.688154,1058.672889,3735.015265,513.6687506,15082.33102,206955.4309,915934.4477,6, ,0,0,1,2397,329604,11.342756,162344.8599,162344.8599,3.726925159,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,208.7439851,156.7467613,114.2945135,162344.8599,113641.402,30418.44,818391.2295,1,[1273741],0.514180264,0.701851852,1,1.120354545,0.853418458,3.904023788,787972.7895
1,11341,TRUE,2309,2309,4515,11341,1,11342,1,11342,3,11342,0,6.523984889,284184.7818, , ,58,1.5,0,0,0,0,0.077812015,0, ,111,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,6.52398489,Acton,2266200,2980600,148200,5395000,23620.96276,6929.051195,16691.91156,749.9315667,26401.63015,203642.5023,913729.2224,7, ,0,0.214217352,0.02107933,5927,312051,20.512821,284184.7818,262071.7914,6.016340483,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,225.6396499,253.0348331,184.5045658,262071.7914,183450.254,103799.8,1428052.415,3,[1271236 1271302 1275138],1.315241373,0.741766382,0.946445662,1.192853809,0.782371103,3.889830749,1324252.615
2,11959,TRUE,2353,2353,4568,11959,1,11960,1,11960,2,11960,0,10.20748106,444637.875, , ,51,0,0,0,0,0,0.19824742,0, ,2A,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,10.20748106,Acton,2795000,2161100,123000,5079100,20597.2745,5261.774187,15335.50031,1299.889007,41308.21028,205585.3223,919065.2578,6, ,0,0.245481191,1,2279,322787,11.342756,444637.875,356489.5635,8.183874276,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,208.7439851,344.1968199,250.9768478,356489.5635,249542.6944,97721.884,1797087.584,2,[1274957 1274998],0.773202147,0.688518519,0.938629702,1.115844937,0.875703626,3.859774595,1699365.7
3,11512,TRUE,2328,2328,4538,11512,1,11513,1,11513,2,11513,0,12.7171893,553960.766, , ,62,0,0,0,0,0,0.111245094,0, ,2A,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,12.7171893,Acton,5272200,8110600,250300,13633100,32744.03903,8937.003232,23807.03579,963.155381,51464.6392,207019.541,914727.9372,6, ,0,0.167103817,1,2562,328091,11.342756,553960.766,492335.3487,11.30246439,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,208.7439851,475.3582677,346.6154035,492335.3487,344634.7441,262300.844,2481895.217,2,[1272261 1272539],1.538371078,0.725185185,0.958224046,1.123999701,0.789778049,3.81535345,2219594.373
4,11411,TRUE,2323,2323,4533,11411,1,11412,1,11412,4,11412,0,7.227640754,314836.0312, , ,54,0,0,0,0,0,0.02300725,0, ,2A,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,7.227640754,Acton,2109300,3132400,122500,5364200,15761.63832,3326.134073,12435.50425,704.9691091,29249.2244,207209.3358,914224.2421,6, ,0,0.058897302,1,2562,328091,11.342756,314836.0312,307592.5198,7.061352614,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,208.7439851,296.9858812,216.5522051,307592.5198,215314.7639,103207.208,1550594.337,4,[1271928 1271961 1271983 1275127],1.485042431,0.698518519,0.985275675,1.123999701,0.769685041,3.787240699,1447387.129
5,11369,TRUE,2316,2316,4525,11369,1,11370,1,11370,4,11370,0,11.36274808,494961.3064, , ,52,1.5,0.106856393,0,0,0,0.041191048,0, ,111,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,11.36274808,Acton,3381400,8724700,567300,12673400,41076.45653,13689.26256,25816.72147,1203.053156,45983.41005,204112.4958,913875.6665,7, ,0,0.045342704,0,4917,370095,15.785789,494961.3064,474573.3315,10.89470458,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,225.6396499,458.2087339,334.1105351,474573.3315,332201.3321,243836.216,2585992.138,4,[1271355 1271441 1271485 1271581],2.580203466,0.694062872,0.988664324,1.182936715,0.708155351,3.775142149,2342155.922
6,11827,TRUE,2348,2348,4563,11827,1,11828,1,11828,3,11828,0,2.161151662,94139.76639, , ,52,0,0,0,0,0.027845509,0,0, ,2A,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,2.161151662,Acton,710400,432300,16700,1159400,4533.741098,1007.029565,3526.711533,385.0799107,8745.870482,206148.9629,918182.9917,6, ,0,0.003761392,1,2279,322787,11.342756,94139.76639,94139.76639,2.161151662,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,208.7439851,90.89356754,66.27655967,94139.76639,65897.83647,22306.856,474564.8195,3,[1274670 1274674 1274693],0.608530405,0.691851852,0.992098275,1.115844937,0.766538088,3.773436007,452257.9635
7,11816,TRUE,2347,2347,4562,11816,1,11817,1,11817,4,11817,0,5.619639096,244791.479, , ,48,0,0,0,0,2.01E-05,0.000247978,0, ,2A,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,5.619639096,Acton,1223100,1802900,137200,3163200,12691.07239,2327.757565,10363.31483,592.6302868,22741.87257,206247.2785,917944.5814,7, ,0,0.041437287,1,2649,389700,7.577497,244791.479,244730.776,5.618245547,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,225.6396499,236.2917837,172.2960923,244730.776,171311.5432,60859.968,1333559.685,4,[1274525 1274539 1274559 1274575],1.47404137,0.678518519,0.98963566,1.130354178,0.755369503,3.760310051,1272699.717
8,11518,TRUE,2330,2330,4540,11518,1,11519,1,11519,1,11519,0,3.18860692,138895.7174, , ,48,1,0,0,0,0,0.001998001,0, , ,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,3.18860692,Acton,790000,1137300,260200,2187500,10860.11515,2451.270993,8408.844162,558.0326988,12903.83439,201797.3583,914835.5478,7, ,0,0.174957157,1,3534,398606,20.512821,138895.7174,138618.2036,3.182236078,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,225.6396499,133.8382655,97.59040194,138618.2036,97032.7425,42087.5,755342.8749,1,[1272589],1.439620253,0.698461538,0.956260711,1.180933349,0.709829731,3.751026842,713255.3749
9,11241,TRUE,2302,2302,4508,11241,1,11242,1,11242,1,11242,0,3.361600257,146431.3072, , ,22.666667,1.214285714,0,0.170023447,0,0,0,0, ,27,2,Acton,379,386,Maturing Suburbs,Established Suburb/Cape Cod Town,3.361600257,Acton,1320100,1557600,94800,2972500,13437.09968,3737.052246,9700.047431,525.0582089,13603.91359,203559.485,913151.2126,7, ,0,0.001805352,0.015654407,5927,312051,20.512821,146431.3072,146431.3072,3.361600257,Acton,Middlesex County,MAGIC Subregion,Established Suburb/Cape Cod Town,1,Established Suburb/Cape Cod Town,1354368.905,2,2020,0.01924,0,0.01924,0.01924,0.01924,225.6396499,141.3819518,103.0910065,146431.3072,102501.915,57190.9,797917.1689,1,[1270618],1.179910613,0.574210446,0.999548662,1.192853809,0.751084032,3.7296311,740726.2689
