site_oid,Number of Parcels on Site,Parcel IDs,muni_id,municipal,Overall Score,Top Quartile,county,subregion,commtype,subtype_key,mapc,type_id,subtype_id,disttosewerft,jobs45mintr,jobs30mincar,pctnonautocmt,transit_typ,station,busstop,walkscore,pub_ind,ch21e_p,aulsite_p,fz100_p,fz500_p,wetland100_p,excluded_p,z2wpa_p,autodealer,openspace_p,highway,area_ac,land_value,bldg_value,othr_value,total_valu,sqm_imperv,sqm_bldg,sqm_pave,sitearea_sf,landv_pac,DOR Code,Fiscal Year,Residential,Open Space,Commercial,Industrial,Personal Property,Condo 2020 Price per ft2,Estimated Capacity (all residential),Estimated Capacity (some commercial),Buildable Area (sf),Impervious surface (sf),Tax Revenue (before retrofit),Tax Revenue (after retrofit),bldlnd_rat,Healthy Communtiies Score,Healthy Watersheds Score,Travel Choices Score,Growth Potential Score,Overall Score
11613,1,[1273741],2,Acton,2.955979181,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,1,2397,329604,11,,,,55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,2A,3.726925159,1029600,529400,22000,1581000,4793.7,1058.7,3735.0,162344.9,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,157,114,162345,113641,10186,1470206,0.51,0.70,1.00,0.23,0.90,2.96
11341,3,[1271236 1271302 1275138],2,Acton,2.90968166,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,0,5927,312051,21,,,,58,1.50,0.00,0.00,0.00,0.00,0.21,0.08,0.00,,0.00,111,6.52398489,2266200,2980600,148200,5395000,23621.0,6929.1,16691.9,284184.8,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,253,185,262072,183450,57347,2373340,1.32,0.74,0.95,0.30,0.81,2.91
11959,2,[1274957 1274998],2,Acton,2.877339304,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,1,2279,322787,11,,,,51,0.00,0.00,0.00,0.00,0.00,0.25,0.20,0.00,,0.00,2A,10.20748106,2795000,2161100,123000,5079100,20597.3,5261.8,15335.5,444637.9,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,344,251,356490,249543,41580,3228394,0.77,0.69,0.94,0.22,0.89,2.88
11827,3,[1274670 1274674 1274693],2,Acton,2.867435962,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,1,2279,322787,11,,,,52,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,,0.00,2A,2.161151662,710400,432300,16700,1159400,4533.7,1007.0,3526.7,94139.8,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,91,66,94140,65898,8317,852536,0.61,0.69,0.99,0.22,0.85,2.87
11378,3,[1271617 1271624 1271665],2,Acton,2.84463403,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,1,4481,351070,21,,,,49,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,111,1.333945049,715700,637600,13100,1366400,4397.9,1102.2,3295.7,58106.6,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,56,41,58107,40675,12267,526218,0.89,0.71,1.00,0.29,0.75,2.84
11512,2,[1272261 1272539],2,Acton,2.819232027,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,1,2562,328091,11,,,,62,0.00,0.00,0.00,0.00,0.00,0.17,0.11,0.00,,0.00,2A,12.7171893,5272200,8110600,250300,13633100,32744.0,8937.0,23807.0,553960.8,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,475,347,492335,344635,156048,4458623,1.54,0.73,0.96,0.23,0.80,2.82
11411,4,[1271928 1271961 1271983 1275127],2,Acton,2.808811679,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,1,2562,328091,11,,,,54,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.00,,0.00,2A,7.227640754,2109300,3132400,122500,5364200,15761.6,3326.1,12435.5,314836.0,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,297,217,307593,215315,60267,2785579,1.49,0.70,0.99,0.23,0.79,2.81
11446,1,[1272109],2,Acton,2.803100954,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,1,2562,328091,11,,,,62,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.00,,0.00,2A,1.692983006,501700,489000,8300,999000,2781.5,730.8,2050.7,73746.3,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,65,47,67170,47019,9408,608294,0.97,0.73,1.00,0.23,0.75,2.80
11816,4,[1274525 1274539 1274559 1274575],2,Acton,2.790501446,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,1,2649,389700,8,,,,48,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,,0.00,2A,5.619639096,1223100,1802900,137200,3163200,12691.1,2327.8,10363.3,244791.5,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,236,172,244731,171312,34688,2216299,1.47,0.68,0.99,0.24,0.78,2.79
11369,4,[1271355 1271441 1271485 1271581],2,Acton,2.780050876,TRUE,Middlesex County,MAGIC Subregion,Maturing Suburbs,Established Suburb/Cape Cod Town,1,379,386,0,4917,370095,16,,,,52,1.50,0.11,0.00,0.00,0.00,0.05,0.04,0.00,,0.00,111,11.36274808,3381400,8724700,567300,12673400,41076.5,13689.3,25816.7,494961.3,1354368.91,2,2020,0.019,0.000,0.019,0.019,0.019,375,458,334,474573,332201,167863,4297769,2.58,0.69,0.99,0.29,0.72,2.78
